time_stamp,sec_since_session_start,data,screen_position,__class__
2013-12-10 19:10:07,84,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1079.0, 517.0)",SelectNode
2013-12-10 19:10:07,84,,"(1079.0, 517.0)",StartTouch
2013-12-10 19:10:08,85,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1068.0, 880.0)",ReleaseNode
2013-12-10 19:10:10,87,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1601.0, 579.0)",SelectNode
2013-12-10 19:10:10,87,,"(1601.0, 579.0)",StartTouch
2013-12-10 19:10:11,88,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1252.0, 858.0)",ReleaseNode
2013-12-10 19:10:12,89,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1254.0, 869.0)",SelectNode
2013-12-10 19:10:12,89,,"(1254.0, 869.0)",StartTouch
2013-12-10 19:10:13,90,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1576.0, 550.0)",ReleaseNode
2013-12-10 19:10:15,92,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1132.0, 868.0)",SelectNode
2013-12-10 19:10:15,92,,"(1132.0, 868.0)",StartTouch
2013-12-10 19:10:16,93,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1000.0, 481.0)",ReleaseNode
2013-12-10 19:10:17,94,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red]","(1606.0, 1094.0)",SelectNode
2013-12-10 19:10:17,94,,"(1606.0, 1094.0)",StartTouch
2013-12-10 19:10:18,95,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red]","(1526.0, 821.0)",ReleaseNode
2013-12-10 19:10:19,96,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red]","(1555.0, 782.0)",SelectNode
2013-12-10 19:10:19,96,,"(1555.0, 782.0)",StartTouch
2013-12-10 19:10:20,97,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red]","(1590.0, 1016.0)",ReleaseNode
2013-12-10 19:10:20,97,,"(1397.0, 880.0)",EndTouch
2013-12-10 19:10:27,104,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1068.0, 483.0)",SelectNode
2013-12-10 19:10:27,104,,"(1068.0, 483.0)",StartTouch
2013-12-10 19:10:27,104,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1080.0, 507.0)",ReleaseNode
2013-12-10 19:10:28,105,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1609.0, 570.0)",SelectNode
2013-12-10 19:10:28,105,,"(1609.0, 570.0)",StartTouch
2013-12-10 19:10:33,110,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1652.0, 602.0)",ReleaseNode
2013-12-10 19:10:35,112,"[Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, From=Red, To=Green]","(1589.0, 1016.0)",ChangeLEDColor
2013-12-10 19:10:35,112,,"(1593.0, 862.0)",EndTouch
2013-12-10 19:10:40,117,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1066.0, 443.0)",SelectNode
2013-12-10 19:10:40,117,,"(1066.0, 443.0)",StartTouch
2013-12-10 19:10:41,118,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1072.0, 416.0)",ReleaseNode
2013-12-10 19:10:42,119,,"(1073.0, 563.0)",EndTouch
2013-12-10 19:10:42,119,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]","(1119.0, 476.0)",SelectNode
2013-12-10 19:10:42,119,,"(1119.0, 476.0)",StartTouch
